ID,state,county,population,start_year,start_month,prior_period_ipc_phase,prior_period_phase3plus_pct,prior_year_cereal_production_tonnes,prior_year_cereal_gap_tonnes,food_insecurity_risk
ID_R62GDS,Central Equatoria,Kajo Keji,221902.0,2019,9,Stressed,0.0,6872.0,-6203.0,0
ID_WM31YI,Central Equatoria,Kajo Keji,221902.0,2020,1,Stressed,14.9,6418.0,-7150.0,1
ID_HAIR4C,Central Equatoria,Kajo Keji,225933.0,2020,1,Crisis,55.0,6418.0,-7150.0,1
ID_OWGZRI,Central Equatoria,Kajo Keji,221902.0,2020,2,Crisis,24.8,6418.0,-7150.0,1
ID_XA11DP,Central Equatoria,Kajo Keji,221902.0,2020,5,Emergency,64.9,6418.0,-7150.0,1
ID_G8SBI4,Central Equatoria,Kajo Keji,232657.0,2022,2,Crisis,59.9,9727.0,-4667.0,1
ID_Q2Y9V8,Central Equatoria,Kajo Keji,232657.0,2022,4,Crisis,59.7,9727.0,-4667.0,1
ID_6WZS3T,Central Equatoria,Kajo Keji,233099.0,2022,10,Crisis,64.9,9727.0,-4667.0,1
ID_60RJIW,Central Equatoria,Kajo Keji,233099.0,2022,12,Crisis,40.3,9727.0,-4667.0,1
ID_1SWJCK,Central Equatoria,Kajo Keji,233099.0,2023,4,Crisis,35.2,12508.0,-2318.0,1
ID_JLTEIY,Central Equatoria,Kajo Keji,86973.0,2023,9,Crisis,60.1,12508.0,-2318.0,1
ID_ZCOTOH,Central Equatoria,Kajo Keji,86973.0,2023,12,Crisis,55.2,12508.0,-2318.0,1
ID_P6VZ41,Central Equatoria,Kajo Keji,86973.0,2024,4,Crisis,50.6,6746.0,-4004.0,1
ID_NAM148,Central Equatoria,Kajo Keji,240092.0,2024,9,Crisis,59.8,6746.0,-4004.0,1
ID_P0TVHH,Central Equatoria,Kajo Keji,260911.0,2024,12,Crisis,50.0,6746.0,-4004.0,1
ID_PBMYOF,Central Equatoria,Kajo Keji,264942.0,2025,4,Crisis,39.9,23313.0,-6363.0,1
ID_QEWAOU,Central Equatoria,Lainya,143180.0,2014,10,Minimal,0.0,8810.8,-5785.657142857143,0
ID_AXEQBN,Central Equatoria,Lainya,145797.0,2015,1,Minimal,0.0,8810.8,-5785.657142857143,0
ID_HL1N13,Central Equatoria,Lainya,145797.0,2015,4,Minimal,4.8,8810.8,-5785.657142857143,0
ID_JCAT9M,Central Equatoria,Lainya,145797.0,2015,5,Minimal,4.8,8810.8,-5785.657142857143,0
ID_X2X18H,Central Equatoria,Lainya,145797.0,2015,8,Minimal,4.8,8810.8,-5785.657142857143,0
ID_AFEYUH,Central Equatoria,Lainya,145797.0,2015,10,Stressed,15.1,8810.8,-5785.657142857143,0
ID_Z1GV0E,Central Equatoria,Lainya,148413.0,2016,1,Minimal,0.0,25343.0,7406.0,0
ID_38DALY,Central Equatoria,Lainya,148413.0,2016,4,Minimal,0.0,25343.0,7406.0,0
ID_8OZCYW,Central Equatoria,Lainya,148413.0,2016,5,Stressed,14.8,25343.0,7406.0,0
ID_D14VE9,Central Equatoria,Lainya,148413.0,2016,8,Stressed,14.8,25343.0,7406.0,1
ID_2MPNSM,Central Equatoria,Lainya,148413.0,2016,10,Emergency,80.2,25343.0,7406.0,1
ID_43D8W3,Central Equatoria,Lainya,131225.0,2017,1,Emergency,80.2,9667.0,-8677.0,1
ID_ZP08J3,Central Equatoria,Lainya,131225.0,2017,2,Crisis,28.2,9667.0,-8677.0,1
ID_TRP0J4,Central Equatoria,Lainya,151029.0,2017,5,Crisis,29.7,9667.0,-8677.0,1
ID_3D5IQV,Central Equatoria,Lainya,151029.0,2017,6,Emergency,60.3,9667.0,-8677.0,1
ID_NB4GH2,Central Equatoria,Lainya,92545.0,2017,9,Crisis,55.0,9667.0,-8677.0,1
ID_M5ZJA8,Central Equatoria,Lainya,92545.0,2017,10,Emergency,59.4,9667.0,-8677.0,1
ID_DZR1YX,Central Equatoria,Lainya,100263.0,2018,1,Emergency,64.8,4822.0,-6617.0,1
ID_R2DHYL,Central Equatoria,Lainya,100263.0,2018,2,Crisis,69.8,4822.0,-6617.0,1
ID_URTP0L,Central Equatoria,Lainya,100263.0,2018,5,Crisis,69.8,4822.0,-6617.0,1
ID_ZJJEGE,Central Equatoria,Lainya,110282.0,2019,8,Crisis,59.8,2411.0,-9982.0,1
ID_T1GHR0,Central Equatoria,Lainya,110282.0,2019,9,Crisis,35.4,2411.0,-9982.0,1
ID_9SKDGI,Central Equatoria,Lainya,110282.0,2020,1,Crisis,25.4,5337.0,-7523.0,1
ID_GATJ9T,Central Equatoria,Lainya,112115.0,2020,1,Crisis,45.3,5337.0,-7523.0,1
ID_ZE5R5U,Central Equatoria,Lainya,110282.0,2020,2,Crisis,25.0,5337.0,-7523.0,1
ID_QPGB7R,Central Equatoria,Lainya,110282.0,2020,5,Crisis,49.9,5337.0,-7523.0,1
ID_3OCWBF,Central Equatoria,Lainya,113712.0,2022,2,Crisis,55.3,6421.0,-7222.0,1
ID_UK9E1V,Central Equatoria,Lainya,113712.0,2022,4,Crisis,55.4,6421.0,-7222.0,1
ID_2ISQP4,Central Equatoria,Lainya,113928.0,2022,10,Crisis,44.8,6421.0,-7222.0,1
ID_9KWV08,Central Equatoria,Lainya,113928.0,2022,12,Crisis,35.1,6421.0,-7222.0,1
ID_HHXFGC,Central Equatoria,Lainya,113928.0,2023,4,Crisis,29.8,5468.0,-8584.0,1
ID_AQVKIZ,Central Equatoria,Lainya,82153.0,2023,9,Crisis,40.4,5468.0,-8584.0,1
ID_ZQY72W,Central Equatoria,Lainya,82153.0,2023,12,Crisis,54.8,5468.0,-8584.0,1
ID_X7PTX6,Central Equatoria,Lainya,82153.0,2024,4,Crisis,49.9,3890.0,-6264.0,1
ID_3CFL0U,Central Equatoria,Lainya,117346.0,2024,9,Crisis,59.6,3890.0,-6264.0,1
ID_KEYZ7S,Central Equatoria,Lainya,118639.0,2024,12,Crisis,55.4,3890.0,-6264.0,1
ID_RCBPLJ,Central Equatoria,Lainya,120472.0,2025,4,Crisis,44.7,5909.0,-8595.0,1
ID_D84U89,Central Equatoria,Morobo,188324.0,2014,10,Minimal,0.0,17216.81818181818,-887.1515151515151,0
ID_YJB1QX,Central Equatoria,Morobo,191765.0,2015,1,Minimal,0.0,17216.81818181818,-887.1515151515151,0
ID_6GVWRD,Central Equatoria,Morobo,191765.0,2015,4,Minimal,5.2,17216.81818181818,-887.1515151515151,0
ID_MLY4LY,Central Equatoria,Morobo,191765.0,2015,5,Minimal,5.2,17216.81818181818,-887.1515151515151,0
ID_K83TQL,Central Equatoria,Morobo,191765.0,2015,8,Minimal,5.2,17216.81818181818,-887.1515151515151,0
ID_L8OS9X,Central Equatoria,Morobo,191765.0,2015,10,Minimal,0.0,17216.81818181818,-887.1515151515151,0
ID_TOGN1W,Central Equatoria,Morobo,195205.0,2016,1,Minimal,0.0,51140.0,27193.0,0
ID_1HT7PZ,Central Equatoria,Morobo,195205.0,2016,4,Minimal,0.0,51140.0,27193.0,0
ID_E9VIFT,Central Equatoria,Morobo,195205.0,2016,5,Minimal,5.1,51140.0,27193.0,0
ID_TD96QE,Central Equatoria,Morobo,195205.0,2016,8,Minimal,5.1,51140.0,27193.0,0
ID_3RZSJ4,Central Equatoria,Morobo,195205.0,2016,10,Stressed,14.9,51140.0,27193.0,0
ID_9ITN7S,Central Equatoria,Morobo,172598.0,2017,1,Minimal,5.1,12522.0,-11645.0,1
ID_55J2O7,Central Equatoria,Morobo,172598.0,2017,2,Crisis,25.5,12522.0,-11645.0,1
ID_S3KKV9,Central Equatoria,Morobo,198646.0,2017,5,Crisis,26.1,12522.0,-11645.0,1
ID_RFTMTT,Central Equatoria,Morobo,198646.0,2017,6,Crisis,40.3,12522.0,-11645.0,1
ID_QLGZUI,Central Equatoria,Morobo,137869.0,2018,1,Emergency,50.3,7578.0,-10297.0,1
ID_1B0Z3N,Central Equatoria,Morobo,137869.0,2018,2,Crisis,60.2,7578.0,-10297.0,1
ID_X39RBS,Central Equatoria,Morobo,137869.0,2018,5,Crisis,60.2,7578.0,-10297.0,1
ID_V55PSQ,Central Equatoria,Morobo,104106.0,2019,8,Crisis,55.1,6773.0,-10268.0,1
ID_0OXFQ8,Central Equatoria,Morobo,104106.0,2019,9,Crisis,25.0,6773.0,-10268.0,0
ID_MYX444,Central Equatoria,Morobo,104106.0,2020,1,Stressed,15.4,7419.0,-10264.0,1
ID_NLZ15B,Central Equatoria,Morobo,106232.0,2020,1,Crisis,29.8,7419.0,-10264.0,1
ID_CW790P,Central Equatoria,Morobo,104106.0,2020,2,Crisis,30.1,7419.0,-10264.0,1
ID_DW5PY6,Central Equatoria,Morobo,104106.0,2020,5,Crisis,34.6,7419.0,-10264.0,1
ID_B2KNFT,Central Equatoria,Morobo,116016.0,2022,2,Crisis,34.6,11334.0,-7426.0,1
ID_U2GC5W,Central Equatoria,Morobo,116016.0,2022,4,Crisis,44.8,11334.0,-7426.0,1
ID_I6FQJJ,Central Equatoria,Morobo,116237.0,2022,10,Crisis,35.3,11334.0,-7426.0,1
ID_A26YFP,Central Equatoria,Morobo,116237.0,2022,12,Crisis,30.1,11334.0,-7426.0,1
ID_MVXPJ4,Central Equatoria,Morobo,116237.0,2023,4,Crisis,19.8,13691.0,-5632.0,1
ID_HNRIUU,Central Equatoria,Morobo,39642.0,2023,9,Crisis,35.3,13691.0,-5632.0,1
ID_9K9XJU,Central Equatoria,Morobo,39642.0,2023,12,Crisis,50.5,13691.0,-5632.0,1
ID_Y0BVR6,Central Equatoria,Morobo,39642.0,2024,4,Crisis,40.4,5025.0,125.0,1
ID_K2VMWW,Central Equatoria,Morobo,119724.0,2024,9,Crisis,55.5,5025.0,125.0,1
ID_YZX4W6,Central Equatoria,Morobo,137618.0,2024,12,Crisis,45.1,5025.0,125.0,1
ID_XLPU0D,Central Equatoria,Morobo,139744.0,2025,4,Crisis,34.9,17253.0,2455.0,1
ID_K0GET8,Central Equatoria,Terekeka,176029.0,2014,10,Stressed,10.2,11501.714285714286,-12708.342857142858,0
ID_T63J3R,Central Equatoria,Terekeka,179245.0,2015,1,Stressed,5.1,11501.714285714286,-12708.342857142858,0
ID_30ME8F,Central Equatoria,Terekeka,179245.0,2015,4,Stressed,15.1,11501.714285714286,-12708.342857142858,0
ID_840982,Central Equatoria,Terekeka,179245.0,2015,5,Stressed,15.1,11501.714285714286,-12708.342857142858,0
ID_N2ATQY,Central Equatoria,Terekeka,179245.0,2015,8,Stressed,15.1,11501.714285714286,-12708.342857142858,0
ID_YV37DI,Central Equatoria,Terekeka,179245.0,2015,10,Stressed,15.1,11501.714285714286,-12708.342857142858,0
ID_A5U6HC,Central Equatoria,Terekeka,182461.0,2016,1,Minimal,5.0,10618.0,-12796.0,0
ID_36KOF8,Central Equatoria,Terekeka,182461.0,2016,4,Stressed,9.9,10618.0,-12796.0,0
ID_KRD5EQ,Central Equatoria,Terekeka,182461.0,2016,5,Stressed,14.8,10618.0,-12796.0,0
ID_Y08P0F,Central Equatoria,Terekeka,182461.0,2016,8,Stressed,14.8,10618.0,-12796.0,0
ID_ODRO8B,Central Equatoria,Terekeka,182461.0,2016,10,Stressed,14.8,10618.0,-12796.0,0
ID_NP84DY,Central Equatoria,Terekeka,161330.0,2017,1,Minimal,4.9,13122.0,-9382.0,0
ID_T9MOGE,Central Equatoria,Terekeka,161330.0,2017,2,Stressed,14.9,13122.0,-9382.0,0
ID_4QXXVA,Central Equatoria,Terekeka,185677.0,2017,5,Stressed,18.0,13122.0,-9382.0,0
ID_2IEUC1,Central Equatoria,Terekeka,185677.0,2017,6,Stressed,15.1,13122.0,-9382.0,0
ID_HH5LF6,Central Equatoria,Terekeka,157562.0,2017,9,Stressed,10.2,13122.0,-9382.0,1
ID_A4FEJG,Central Equatoria,Terekeka,157562.0,2017,10,Crisis,29.8,13122.0,-9382.0,0
ID_XAA2IL,Central Equatoria,Terekeka,162289.0,2018,1,Stressed,15.2,12617.0,-6858.0,1
ID_GB0S0R,Central Equatoria,Terekeka,162289.0,2018,2,Crisis,59.8,12617.0,-6858.0,1
ID_2SDS8B,Central Equatoria,Terekeka,162289.0,2018,5,Crisis,59.8,12617.0,-6858.0,1
ID_25SQ8C,Central Equatoria,Terekeka,246483.0,2019,8,Crisis,69.6,7797.0,-12262.0,1
ID_ROYR6C,Central Equatoria,Terekeka,246483.0,2019,9,Crisis,45.0,7797.0,-12262.0,1
ID_CVCJWT,Central Equatoria,Terekeka,246483.0,2020,1,Crisis,34.9,15412.0,-5404.0,1
ID_L9TQVD,Central Equatoria,Terekeka,249364.0,2020,1,Crisis,24.7,15412.0,-5404.0,1
ID_Z4X1ZH,Central Equatoria,Terekeka,246483.0,2020,2,Crisis,39.7,15412.0,-5404.0,1
ID_QIMQOD,Central Equatoria,Terekeka,246483.0,2020,5,Crisis,30.0,15412.0,-5404.0,1
ID_PXNF7C,Central Equatoria,Terekeka,258398.0,2022,2,Crisis,40.2,12263.0,-9820.0,1
ID_3DD03U,Central Equatoria,Terekeka,258398.0,2022,4,Crisis,60.0,12263.0,-9820.0,1
ID_VULEMX,Central Equatoria,Terekeka,258889.0,2022,10,Emergency,70.0,12263.0,-9820.0,1
ID_15Z8VM,Central Equatoria,Terekeka,258889.0,2022,12,Crisis,40.2,12263.0,-9820.0,1
ID_UHXID4,Central Equatoria,Terekeka,258889.0,2023,4,Crisis,50.2,16841.0,-5905.0,1
ID_N1U349,Central Equatoria,Terekeka,242991.0,2023,9,Crisis,59.9,16841.0,-5905.0,1
ID_3WXA73,Central Equatoria,Terekeka,242991.0,2023,12,Crisis,44.9,16841.0,-5905.0,1
ID_JGZLMA,Central Equatoria,Terekeka,242991.0,2024,4,Crisis,30.0,5108.0,-24926.0,1
ID_5UOFWB,Central Equatoria,Terekeka,266656.0,2024,9,Crisis,44.9,5108.0,-24926.0,1
ID_0HPMNZ,Central Equatoria,Terekeka,186491.0,2024,12,Crisis,44.6,5108.0,-24926.0,1
ID_1UDBFW,Central Equatoria,Terekeka,189372.0,2025,4,Crisis,35.4,7248.0,-25711.0,1
ID_YJXRPJ,Central Equatoria,Yei,260724.0,2014,10,Minimal,0.0,28975.14285714286,509.8,0
ID_1EPKYR,Central Equatoria,Yei,265487.0,2015,1,Minimal,0.0,28975.14285714286,509.8,0
ID_YBOVAK,Central Equatoria,Yei,265487.0,2015,4,Minimal,4.9,28975.14285714286,509.8,0
ID_HEJLA0,Central Equatoria,Yei,265487.0,2015,5,Minimal,4.9,28975.14285714286,509.8,0
ID_GNZS43,Central Equatoria,Yei,265487.0,2015,8,Minimal,4.9,28975.14285714286,509.8,0
ID_C5BA75,Central Equatoria,Yei,265487.0,2015,10,Minimal,4.9,28975.14285714286,509.8,0
ID_UUZPEA,Central Equatoria,Yei,270251.0,2016,1,Minimal,0.0,62889.0,28775.0,0
ID_L2W37D,Central Equatoria,Yei,270251.0,2016,4,Minimal,5.2,62889.0,28775.0,0
ID_4IVSOL,Central Equatoria,Yei,270251.0,2016,5,Minimal,5.2,62889.0,28775.0,0
ID_MLGSES,Central Equatoria,Yei,270251.0,2016,8,Minimal,5.2,62889.0,28775.0,0
ID_6M033I,Central Equatoria,Yei,270251.0,2016,10,Stressed,15.2,62889.0,28775.0,0
ID_FHV1XG,Central Equatoria,Yei,238951.0,2017,1,Minimal,5.2,19879.0,-13729.0,1
ID_1R11Q7,Central Equatoria,Yei,238951.0,2017,2,Crisis,35.2,19879.0,-13729.0,1
ID_UWW5WF,Central Equatoria,Yei,275013.0,2017,5,Crisis,36.8,19879.0,-13729.0,1
ID_CPKJCS,Central Equatoria,Yei,275013.0,2017,6,Crisis,35.3,19879.0,-13729.0,1
ID_LQC3C5,Central Equatoria,Yei,156760.0,2017,9,Crisis,45.1,19879.0,-13729.0,1
ID_4WSQT2,Central Equatoria,Yei,156760.0,2017,10,Emergency,69.5,19879.0,-13729.0,1
ID_6Q3XLR,Central Equatoria,Yei,161463.0,2018,1,Emergency,74.6,10943.0,-9240.0,1
ID_FCD6MZ,Central Equatoria,Yei,161463.0,2018,2,Crisis,45.2,10943.0,-9240.0,1
ID_SGIPPS,Central Equatoria,Yei,161463.0,2018,5,Crisis,60.1,10943.0,-9240.0,1
ID_FNKOMV,Central Equatoria,Yei,271197.0,2019,8,Crisis,70.0,13972.0,-6816.0,1
ID_2XCDYK,Central Equatoria,Yei,271197.0,2019,9,Crisis,19.9,13972.0,-6816.0,1
ID_0X65MU,Central Equatoria,Yei,271197.0,2020,1,Crisis,19.9,15352.0,-6220.0,1
ID_FM8ZOV,Central Equatoria,Yei,275330.0,2020,1,Crisis,45.0,15352.0,-6220.0,1
ID_7LN23Y,Central Equatoria,Yei,271197.0,2020,2,Crisis,25.1,15352.0,-6220.0,1
ID_30YSXP,Central Equatoria,Yei,271197.0,2020,5,Crisis,50.1,15352.0,-6220.0,1
ID_NNGH8R,Central Equatoria,Yei,302189.0,2022,2,Crisis,45.0,19454.0,-3432.0,1
ID_IEC4D1,Central Equatoria,Yei,302189.0,2022,4,Crisis,45.0,19454.0,-3432.0,1
ID_45BM1E,Central Equatoria,Yei,302763.0,2022,10,Crisis,35.1,19454.0,-3432.0,1
ID_NF313F,Central Equatoria,Yei,302763.0,2022,12,Crisis,35.0,19454.0,-3432.0,1
ID_POYIPK,Central Equatoria,Yei,302763.0,2023,4,Crisis,30.1,21568.0,-2004.0,1
ID_0QTL3Q,Central Equatoria,Yei,181841.0,2023,9,Crisis,44.9,21568.0,-2004.0,1
ID_4N89QK,Central Equatoria,Yei,181841.0,2023,12,Crisis,29.7,21568.0,-2004.0,1
ID_NS832E,Central Equatoria,Yei,181841.0,2024,4,Crisis,29.7,26182.0,2770.0,1
ID_JX5TD4,Central Equatoria,Yei,311846.0,2024,9,Crisis,40.1,26182.0,2770.0,1
ID_4K1J6F,Central Equatoria,Yei,267581.0,2024,12,Crisis,45.2,26182.0,2770.0,1
ID_P8HQMA,Central Equatoria,Yei,271714.0,2025,4,Crisis,29.9,45420.0,5270.0,1
ID_BSI9NB,Eastern Equatoria,Budi,112513.0,2014,10,Minimal,5.3,17338.157894736843,4555.6578947368425,0
ID_74X2EK,Eastern Equatoria,Budi,114569.0,2015,1,Minimal,0.0,17338.157894736843,4555.6578947368425,0
ID_3ZEZQA,Eastern Equatoria,Budi,114569.0,2015,4,Stressed,5.2,17338.157894736843,4555.6578947368425,0
ID_CJ4T0S,Eastern Equatoria,Budi,114569.0,2015,5,Stressed,9.6,17338.157894736843,4555.6578947368425,0
ID_EKKBP2,Eastern Equatoria,Budi,114569.0,2015,8,Stressed,9.6,17338.157894736843,4555.6578947368425,0
ID_QD6VAS,Eastern Equatoria,Budi,114569.0,2015,10,Stressed,14.8,17338.157894736843,4555.6578947368425,0
ID_IFPWIO,Eastern Equatoria,Budi,116625.0,2016,1,Stressed,14.8,16419.0,2527.0,0
ID_XD9CSS,Eastern Equatoria,Budi,116625.0,2016,4,Stressed,14.6,16419.0,2527.0,1
ID_9TOQW9,Eastern Equatoria,Budi,116625.0,2016,5,Crisis,24.9,16419.0,2527.0,1
ID_JA2M0W,Eastern Equatoria,Budi,116625.0,2016,8,Crisis,45.4,16419.0,2527.0,0
ID_10LBT3,Eastern Equatoria,Budi,116625.0,2016,10,Stressed,14.6,16419.0,2527.0,0
ID_G2QZW3,Eastern Equatoria,Budi,103118.0,2017,1,Stressed,5.1,15258.0,1589.0,0
ID_C1QKBH,Eastern Equatoria,Budi,103118.0,2017,2,Stressed,9.7,15258.0,1589.0,1
ID_B7S9TJ,Eastern Equatoria,Budi,118680.0,2017,5,Crisis,19.4,15258.0,1589.0,1
ID_1GM25L,Eastern Equatoria,Budi,118680.0,2017,6,Crisis,35.4,15258.0,1589.0,1
ID_EN606N,Eastern Equatoria,Budi,90800.0,2017,9,Crisis,30.3,15258.0,1589.0,1
ID_9RR7S2,Eastern Equatoria,Budi,90800.0,2017,10,Emergency,59.5,15258.0,1589.0,1
ID_0CV3TL,Eastern Equatoria,Budi,93524.0,2018,1,Crisis,55.1,13781.0,2558.0,0
